nohup: ignoring input
BEFORE 3
535 ['aardvark', 'african elephant', 'african grey parrot', 'african ringneck', 'african wild dog']
manatee 0.0
3 false
4 false.
mantaray 0.001869158878504673
2 false.
3 false.
mantis 0.003738317757009346
1 false
2 true
3 false
4 false
marmoset 0.005607476635514018
0 true
1 false
2 false
3 false
4 false
marmot 0.007476635514018692
0 true
1 false
2 false
3 false
4 false
marsupial 0.009345794392523364
0 true
1 false
2 false
3 false
4 false
meerkat 0.011214953271028037
0 true
1 false
2 false
3 false
4 false
millipede 0.013084112149532711
0 false
1 false
2 false
3 false
4 false
mink 0.014953271028037384
0 true
1 false
2 false
3 false
4 false
minke whale 0.016822429906542057
0 true
1 false
2 false
3 false
4 false
minnow 0.018691588785046728
0 false
1 false
2 false
3 false
4 false
mite 0.020560747663551402
0 false
1 false.
2 true
3 false
4 false
mockingbird 0.022429906542056073
0 false
1 true
2 false
3 false
4 false
mole 0.024299065420560748
0 true
1 false
2 false
3 false
4 false
mongoose 0.026168224299065422
0 true
1 false
2 false
3 false
4 false
monitor lizard 0.028037383177570093
0 false
1 false.
2 false.
3 true
4 false
monkey 0.029906542056074768
0 true
1 false
2 false
3 false
4 false
moose 0.03177570093457944
0 true
1 false
2 false
3 false
4 false.
mosquito 0.03364485981308411
0 false
1 false
2 true
3 false
4 false
moth 0.03551401869158879
0 false
1 false.
2 true
3 false
4 false
mountain lion 0.037383177570093455
0 true
1 false
2 false
3 false
4 false
mountainbear 0.03925233644859813
0 false
1 false
2 false
3 false
4 false
mountaingoat 0.041121495327102804
0 true
1 false
2 false
3 false
4 false
mountainlion 0.04299065420560748
0 true
1 false
2 false
3 false
4 false
mouse 0.044859813084112146
0 true
1 false
2 false
3 false
4 false
mule 0.04672897196261682
0 true
1 false
2 false
3 false
4 false
muledeer 0.048598130841121495
0 true
1 false
2 false
3 false
4 false
muntjac 0.05046728971962617
0 true
1 false
2 false
3 false
4 false
muskrat 0.052336448598130844
0 true
1 false
2 false
3 false
4 false
mussel 0.05420560747663551
0 false
1 false
2 false
3 false
4 false
narwhal 0.056074766355140186
0 true
1 false
2 false
3 false
4 false
neon tetra 0.05794392523364486
0 false
1 false
2 false
3 false
4 false
newt 0.059813084112149535
0 false
1 false
2 false
3 false
4 true
nightingale 0.0616822429906542
0 false
1 true
2 false
3 false
4 false
ocelot 0.06355140186915888
0 true
1 false
2 false
3 false
4 false
octopus 0.06542056074766354
0 false
1 false
2 false
3 false
4 false
okapi 0.06728971962616823
0 true
1 false
2 false
3 false
4 false
opossum 0.0691588785046729
0 true
1 false
2 false
3 false
4 false
orangutan 0.07102803738317758
0 true
1 false
2 false
3 false
4 false
orca 0.07289719626168224
0 true
1 false
2 false
3 false
4 false
oriole 0.07476635514018691
0 false
1 true
2 false.
3 false
4 false
ostrich 0.07663551401869159
0 false
1 true
2 false
3 false.
4 false
otter 0.07850467289719626
0 true
1 false
2 false
3 false
4 false
owl 0.08037383177570094
0 false
1 true
2 false
3 false
4 false
ox 0.08224299065420561
0 true
1 true
2 false.
3 false.
4 false.
oyster 0.08411214953271028
0 false
1 false
2 false
3 false
4 false
panda 0.08598130841121496
0 true
1 false
2 false
3 false
4 false
panther 0.08785046728971962
0 true
1 false
2 false
3 false
4 false
parakeet 0.08971962616822429
0 false
1 true
2 false
3 false
4 false
parrot 0.09158878504672897
0 false
1 true
2 false
3 false
4 false
parrotlet 0.09345794392523364
0 false
1 true
2 false
3 false
4 false
peacock 0.09532710280373832
0 false
1 true
2 false
3 false
4 false
pelican 0.09719626168224299
0 false
1 true
2 false
3 false
4 false
pembrokewelshcorgi 0.09906542056074766
0 true
1 false
2 false
3 false
4 false
penguin 0.10093457943925234
0 false
1 true
2 false
3 false
4 false
perch 0.102803738317757
0 false
1 true
2 false
3 false
4 false
persian cat 0.10467289719626169
0 true
1 false
2 false
3 false
4 false
pheasant 0.10654205607476636
0 false
1 true
2 false
3 false
4 false
pig 0.10841121495327102
0 true
1 false
2 false
3 false
4 false
pigeon 0.1102803738317757
0 false
1 true
2 false
3 false
4 false
piglet 0.11214953271028037
0 true
1 false
2 false
3 false
4 false
pike 0.11401869158878504
0 false
1 false
2 false
3 false
4 false
